    p        P 
   0.500    0.0000 
   0.510    0.0000 
   0.520    0.0000 
   0.530    0.0000 
   0.540    0.0004 
   0.550    0.0021 
   0.560    0.0085 
   0.570    0.0313 
   0.580    0.0909 
   0.590    0.1782 
   0.600    0.2905 
   0.610    0.4019 
   0.620    0.4825 
   0.630    0.5363 
   0.640    0.5712 
   0.650    0.5983 
   0.660    0.6201 
   0.670    0.6383 
   0.680    0.6545 
   0.690    0.6694 
   0.700    0.6832 
   0.710    0.6962 
   0.720    0.7088 
   0.730    0.7207 
   0.740    0.7324 
   0.750    0.7438 
   0.760    0.7549 
   0.770    0.7658 
   0.780    0.7767 
   0.790    0.7873 
   0.800    0.7978 
   0.810    0.8083 
   0.820    0.8187 
   0.830    0.8291 
   0.840    0.8393 
   0.850    0.8494 
   0.860    0.8596 
   0.870    0.8697 
   0.880    0.8798 
   0.890    0.8899 
   0.900    0.9000 
   0.910    0.9100 
   0.920    0.9200 
   0.930    0.9300 
   0.940    0.9400 
   0.950    0.9501 
   0.960    0.9601 
   0.970    0.9701 
   0.980    0.9801 
   0.990    0.9900 
   1.000    1.0000 
