    p        P 
   0.500    0.0000 
   0.505    0.0000 
   0.510    0.0000 
   0.515    0.0000 
   0.520    0.0000 
   0.525    0.0000 
   0.530    0.0000 
   0.535    0.0000 
   0.540    0.0000 
   0.545    0.0000 
   0.550    0.0000 
   0.555    0.0000 
   0.560    0.1000 
   0.565    0.1000 
   0.570    0.2000 
   0.575    0.3000 
   0.580    0.4000 
   0.585    0.4000 
   0.590    0.4000 
   0.595    0.8000 
   0.600    0.8000 
   0.605    1.0000 
   0.610    1.0000 
   0.615    1.0000 
   0.620    1.0000 
   0.625    1.0000 
   0.630    1.0000 
   0.635    1.0000 
   0.640    1.0000 
   0.645    1.0000 
   0.650    1.0000 
   0.655    1.0000 
   0.660    1.0000 
   0.665    1.0000 
   0.670    1.0000 
   0.675    1.0000 
   0.680    1.0000 
   0.685    1.0000 
   0.690    1.0000 
   0.695    1.0000 
   0.700    1.0000 
